TIME		SERVO		MOTOR		HEADING				
0.015	S:	2294	M:	2922	H:	562	R:	46	L:	9
0.03	S:	2294	M:	2922	H:	562	R:	46	L:	9
0.045	S:	3374	M:	2258	H:	562	R:	-1	L:	255
0.06	S:	3374	M:	2258	H:	562	R:	-1	L:	255
0.075	S:	3374	M:	2258	H:	562	R:	-1	L:	255
0.09	S:	2294	M:	2258	H:	562	R:	-1	L:	255
0.105	S:	2294	M:	2258	H:	562	R:	-1	L:	255
0.12	S:	2294	M:	2258	H:	562	R:	-1	L:	255
0.135	S:	2294	M:	3216	H:	562	R:	58	L:	30
0.15	S:	2294	M:	3216	H:	562	R:	58	L:	30
0.165	S:	2294	M:	3216	H:	562	R:	58	L:	30
0.18	S:	2294	M:	3216	H:	563	R:	58	L:	30
0.195	S:	2294	M:	3216	H:	563	R:	58	L:	30
0.21	S:	2294	M:	3381	H:	563	R:	65	L:	30
0.225	S:	2294	M:	3381	H:	563	R:	65	L:	30
0.24	S:	2294	M:	3381	H:	563	R:	65	L:	30
0.255	S:	2294	M:	3381	H:	563	R:	65	L:	30
0.27	S:	2294	M:	3381	H:	563	R:	65	L:	30
0.285	S:	2294	M:	3381	H:	563	R:	65	L:	30
0.3	S:	2294	M:	3249	H:	564	R:	60	L:	30
0.315	S:	2294	M:	3249	H:	564	R:	60	L:	30
0.33	S:	2294	M:	3249	H:	564	R:	60	L:	30
0.345	S:	2294	M:	3249	H:	564	R:	60	L:	30
0.36	S:	2294	M:	3249	H:	564	R:	60	L:	30
0.375	S:	2294	M:	3591	H:	547	R:	74	L:	30
0.39	S:	2294	M:	3591	H:	547	R:	74	L:	30
0.405	S:	2294	M:	3591	H:	547	R:	74	L:	30
0.42	S:	2294	M:	3591	H:	547	R:	74	L:	30
0.435	S:	2294	M:	3591	H:	547	R:	74	L:	30
0.45	S:	2294	M:	3591	H:	547	R:	74	L:	30
0.465	S:	2294	M:	3252	H:	547	R:	60	L:	30
0.48	S:	2294	M:	3252	H:	547	R:	60	L:	30
0.495	S:	2294	M:	3252	H:	547	R:	60	L:	30
0.51	S:	2294	M:	3252	H:	511	R:	60	L:	30
0.525	S:	2294	M:	3252	H:	511	R:	60	L:	30
0.54	S:	2294	M:	3519	H:	511	R:	71	L:	30
0.555	S:	2294	M:	3519	H:	511	R:	71	L:	30
0.57	S:	2294	M:	3519	H:	511	R:	71	L:	30
0.585	S:	2294	M:	3519	H:	460	R:	71	L:	30
0.6	S:	2294	M:	3519	H:	460	R:	71	L:	30
0.615	S:	2294	M:	3519	H:	460	R:	71	L:	30
0.63	S:	2294	M:	3327	H:	460	R:	63	L:	30
0.645	S:	2294	M:	3327	H:	460	R:	63	L:	30
0.66	S:	2294	M:	3327	H:	460	R:	63	L:	30
0.675	S:	2294	M:	3327	H:	402	R:	63	L:	30
0.69	S:	2294	M:	3327	H:	402	R:	63	L:	30
0.705	S:	2294	M:	3450	H:	402	R:	68	L:	30
0.72	S:	2294	M:	3450	H:	402	R:	68	L:	30
0.735	S:	2294	M:	3450	H:	402	R:	68	L:	30
0.75	S:	2294	M:	3450	H:	402	R:	68	L:	30
0.765	S:	2294	M:	3450	H:	402	R:	68	L:	30
0.78	S:	2294	M:	3450	H:	402	R:	68	L:	30
0.795	S:	2294	M:	3399	H:	329	R:	66	L:	29
0.81	S:	2294	M:	3399	H:	329	R:	66	L:	29
0.825	S:	2294	M:	3399	H:	329	R:	66	L:	29
0.84	S:	2294	M:	3399	H:	329	R:	66	L:	29
0.855	S:	2294	M:	3399	H:	329	R:	66	L:	29
0.87	S:	2294	M:	3210	H:	329	R:	58	L:	28
0.885	S:	2294	M:	3210	H:	329	R:	58	L:	28
0.9	S:	2294	M:	3210	H:	329	R:	58	L:	28
0.915	S:	2294	M:	3210	H:	247	R:	58	L:	28
0.93	S:	2294	M:	3210	H:	247	R:	58	L:	28
0.945	S:	2294	M:	3210	H:	247	R:	58	L:	28
0.96	S:	2294	M:	3594	H:	247	R:	74	L:	28
0.975	S:	2294	M:	3594	H:	247	R:	74	L:	28
0.99	S:	2294	M:	3594	H:	247	R:	74	L:	28
1.005	S:	2294	M:	3594	H:	132	R:	74	L:	28
1.02	S:	2294	M:	3594	H:	132	R:	74	L:	28
1.035	S:	2294	M:	3375	H:	132	R:	65	L:	28
1.05	S:	2294	M:	3375	H:	132	R:	65	L:	28
1.065	S:	2294	M:	3375	H:	132	R:	65	L:	28
1.08	S:	2294	M:	3375	H:	13	R:	65	L:	28
1.095	S:	2294	M:	3375	H:	13	R:	65	L:	28
1.11	S:	2294	M:	3375	H:	13	R:	65	L:	28
1.125	S:	2294	M:	3255	H:	13	R:	60	L:	28
1.14	S:	2294	M:	3255	H:	13	R:	60	L:	28
1.155	S:	2294	M:	3255	H:	13	R:	60	L:	28
1.17	S:	2294	M:	3255	H:	13	R:	60	L:	28
1.185	S:	2294	M:	3255	H:	13	R:	60	L:	28
