Metabolic Control Analysis Result:																				
																				
A steady state was found. All coefficients are shown.																				
																				
Unscaled elasticities																				
Unscaled elasticity matrix																				
Rows:    Reactions (reduced system)																				
Columns: Species (reduced system)																				
	adp	GAP	P	G6P	DHAP	P2G	LAC	F6P	P3G	PYR	G1P	PCr	NADH	DPG	amp	PEP	atp	Cr	FDP	NAD
(vgp)	0	0	0.229688	0	0	0	0	0	0	0	-2.99272	0	0	0	1253.05	0	0	0	0	0
(vpglm)	0	0	0	-19.2206	0	0	0	0	0	0	126.785	0	0	0	0	0	0	0	0	0
(vpgi)	0	0	0	326.527	0	0	0	-750.849	0	0	0	0	0	0	0	0	0	0	0	0
(vpfk)	-0.904209	0	0	0	0	0	0	52.42	0	0	0	0	0	0	582.513	0	-4.01723	0	-0.336592	0
(vald)	0	-659.411	0	0	-34.0538	0	0	0	0	0	0	0	0	0	0	0	0	0	24.9518	0
(vtpi)	0	7623.7	0	0	-389.533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(vgapdh)	0	15014.7	58.1381	0	0	0	0	0	0	0	0	0	-5390.23	-8.76E+06	0	0	0	0	0	7294.3
(vpgk)	703.476	0	0	0	0	0	0	0	-573.225	0	0	0	0	1.64E+06	0	0	-36.5059	0	0	0
(vpgm)	0	0	0	0	0	-4031.93	0	0	642.941	0	0	0	0	0	0	0	0	0	0	0
(ven)	0	0	0	0	0	777.688	0	0	0	0	0	0	0	0	0	-2055.72	0	0	0	0
(vpk)	80.0673	0	0	0	0	0	0	0	0	-7.05021	0	0	0	0	0	2391.84	-3.56241	0	0	0
(vldh)	0	0	0	0	0	0	-0.242061	0	0	4769.17	0	0	165.083	0	0	0	0	0	0	-207.532
(vck)	-961.028	0	0	0	0	0	0	0	0	0	0	-128.574	0	0	0	0	50.139	10.5769	0	0
(vadk)	-108.84	0	0	0	0	0	0	0	0	0	0	0	0	0	2305.21	0	2.83922	0	0	0
(vatpase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0	0
(vfout)	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
																				
Scaled elasticities																				
Scaled elasticity matrix																				
Rows:    Reactions (reduced system)																				
Columns: Species (reduced system)																				
	adp	GAP	P	G6P	DHAP	P2G	LAC	F6P	P3G	PYR	G1P	PCr	NADH	DPG	amp	PEP	atp	Cr	FDP	NAD
(vgp)	0	0	0.314521	0	0	0	0	0	0	0	-0.0372795	0	0	0	0.617331	0	0	0	0	0
(vpglm)	0	0	0	-1.56198	0	0	0	0	0	0	1.57932	0	0	0	0	0	0	0	0	0
(vpgi)	0	0	0	26.5354	0	0	0	-26.4361	0	0	0	0	0	0	0	0	0	0	0	0
(vpfk)	-0.0188699	0	0	0	0	0	0	1.84562	0	0	0	0	0	0	0.286981	0	-1.60689	0	-0.0491524	0
(vald)	0	-3.49587	0	0	-3.55221	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6437	0
(vtpi)	0	-40.4171	0	0	40.6328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(vgapdh)	0	39.8004	39.8054	0	0	0	0	0	0	0	0	0	-39.7901	-39.7808	0	0	0	0	0	39.8046
(vpgk)	7.34039	0	0	0	0	0	0	0	-6.71869	0	0	0	0	7.46829	0	0	-7.30118	0	0	0
(vpgm)	0	0	0	0	0	-7.41688	0	0	7.53583	0	0	0	0	0	0	0	0	0	0	0
(ven)	0	0	0	0	0	1.43058	0	0	0	0	0	0	0	0	0	-0.8207	0	0	0	0
