Metabolic Control Analysis Result:																				
																				
A steady state was found. All coefficients are shown.																				
																				
Unscaled elasticities																				
Unscaled elasticity matrix																				
Rows:    Reactions (reduced system)																				
Columns: Species (reduced system)																				
	adp	GAP	P	G6P	DHAP	P2G	LAC	F6P	P3G	PYR	G1P	PCr	NADH	DPG	amp	PEP	atp	Cr	FDP	NAD
(vgp)	0	0	0.297421	0	0	0	0	0	0	0	-1.21576	0	0	0	84.145	0	0	0	0	0
(vpglm)	0	0	0	-21.3276	0	0	0	0	0	0	307.263	0	0	0	0	0	0	0	0	0
(vpgi)	0	0	0	661.713	0	0	0	-1475.78	0	0	0	0	0	0	0	0	0	0	0	0
(vpfk)	-0.144146	0	0	0	0	0	0	13.5671	0	0	0	0	0	0	79.133	0	-0.445576	0	-0.035183	0
(vald)	0	-611.608	0	0	-31.8166	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4252	0
(vtpi)	0	5886.72	0	0	-305.989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(vgapdh)	0	10700.5	238.802	0	0	0	0	0	0	0	0	0	-42058.4	-1.48E+06	0	0	0	0	0	3343.34
(vpgk)	5282.17	0	0	0	0	0	0	0	-723.582	0	0	0	0	163608	0	0	-20.9769	0	0	0
(vpgm)	0	0	0	0	0	-6145.95	0	0	1091.98	0	0	0	0	0	0	0	0	0	0	0
(ven)	0	0	0	0	0	1123.7	0	0	0	0	0	0	0	0	0	-2351.12	0	0	0	0
(vpk)	126.637	0	0	0	0	0	0	0	0	-5.8241	0	0	0	0	0	220.016	-0.432086	0	0	0
(vldh)	0	0	0	0	0	0	-3.54485	0	0	4529.9	0	0	1975.29	0	0	0	0	0	0	-156.05
(vck)	-8646.13	0	0	0	0	0	0	0	0	0	0	-13.5472	0	0	0	0	34.3833	14.6207	0	0
(vadk)	-9.5197	0	0	0	0	0	0	0	0	0	0	0	0	0	2645.21	0	0.0189286	0	0	0
(vatpase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0
(vfout)	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
																				
Scaled elasticities																				
Scaled elasticity matrix																				
Rows:    Reactions (reduced system)																				
Columns: Species (reduced system)																				
	adp	GAP	P	G6P	DHAP	P2G	LAC	F6P	P3G	PYR	G1P	PCr	NADH	DPG	amp	PEP	atp	Cr	FDP	NAD
(vgp)	0	0	0.944124	0	0	0	0	0	0	0	-0.0285436	0	0	0	0.0024085	0	0	0	0	0
(vpglm)	0	0	0	-7.17343	0	0	0	0	0	0	7.21393	0	0	0	0	0	0	0	0	0
(vpgi)	0	0	0	222.564	0	0	0	-222.365	0	0	0	0	0	0	0	0	0	0	0	0
(vpfk)	-0.00229292	0	0	0	0	0	0	2.04424	0	0	0	0	0	0	0.00226504	0	-1.7823	0	-0.0748261	0
(vald)	0	-43.3221	0	0	-43.3743	0	0	0	0	0	0	0	0	0	0	0	0	0	43.4396	0
(vtpi)	0	-416.975	0	0	417.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(vgapdh)	0	378.975	379.022	0	0	0	0	0	0	0	0	0	-378.971	-378.97	0	0	0	0	0	378.983
(vpgk)	42.0115	0	0	0	0	0	0	0	-41.1879	0	0	0	0	42.0062	0	0	-41.9538	0	0	0
(vpgm)	0	0	0	0	0	-61.962	0	0	62.1577	0	0	0	0	0	0	0	0	0	0	0
(ven)	0	0	0	0	0	11.3289	0	0	0	0	0	0	0	0	0	-10.6113	0	0	0	0
(vpk)	1.0072	0	0	0	0	0	0	0	0	-0.0238992	0	0	0	0	0	0.992999	-0.864173	0	0	0
(vldh)	0	0	0	0	0	0	-17.7242	0	0	18.5884	0	0	17.7986	0	0	0	0	0	0	-17.689
(vck)	inf	0	0	0	0	0	0	0	0	0	0	inf	0	0	0	0	inf	inf	0	0
(vadk)	#NAME?	0	0	0	0	0	0	0	0	0	0	0	0	0	#NAME?	0	#NAME?	0	0	0
(vatpase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(vfout)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
																				
Unscaled concentration control coefficients																				
Unscaled concentration control coefficients																				
Rows:    Species (reduced system)																				
Columns: Reactions (reduced system)																				
	(vgp)	(vpglm)	(vpgi)	(vpfk)	(vald)	(vtpi)	(vgapdh)	(vpgk)	(vpgm)	(ven)	(vpk)	(vldh)	(vck)	(vadk)	(vatpase)	(vfout)				
adp	0.00156402	5.48E-06	-1.53E-07	-3.27E-05	-2.14E-05	2.94E-06	-2.86E-06	-2.63E-05	-8.79E-05	-0.000549278	-0.00621949	-2.49E-05	7.74E-06	-4.60E-05	0.00439777	-0.000442038				
GAP	0.0274463	0.000130121	1.42E-05	0.00203078	0.000651064	-8.93E-05	-6.49E-06	-5.95E-05	-0.000193551	-0.00120835	-0.0136774	-5.62E-05	-0.000234782	-0.00093933	0.000677711	-0.00099596				
